1;4019.28;0;0;4019.28;0.833333;0.833333;0;0;0;19;4500;372.870.891;276.007.263;0.272727;12;805.520.824
1;114;114;0;0;0.25;0;0.25;0;0;3;3000;184.582.486;136.782.541;0;12;63.078.242
1;454.21;454.21;0;0;0.916667;0;0.916667;0;0;21;1000;447.202.927;8.791.735.512;0;12;1.172.344.218
0.545455;764.64;764.64;0;0;1;0;1;0;0;12;4000;1.074.956.132;88.325.372;0.545455;12;25.192.974
1;180;0;0;180;0.166667;0.166667;0;0;0;2;3000;534.055.194;866.123.831;0;12;1.371.015.868
1;5855.46;0;0;5855.46;0.833333;0.833333;0;0;0;26;7000;3.866.077.948;1.232.547.913;0;12;4.825.450.839
1;3111.44;1440.35;0;1671.09;1;0.5;1;0;0;50;6000;164.850.704;685.226.291;0;12;2.048.573.881
0.272727;1861.74;0;0;1861.74;0.25;0.25;0;0;0;31;3000;19.573.661;273.119.363;0;12;251.273.637
1;3018.68;0;4.157.651.522;3018.68;0.25;0.25;0;0.5;9;6;5500;3.369.399.283;703.053.712;0.083333;12;3.239.138.704
1;0;0;19.345.729;0;0;0;0;0.083333;1;0;2100;138.907.177;132.663.819;0;12;2.128.151.695
0;0;0;10.051.993;0;0;0;0;0.083333;1;0;2000;0;;0;12;0
1;158.7;158.7;0;0;1;0;1;0;0;23;5200;19.370.608;14.102.725;0.7;12;14.593.148
1;89.39;0;108.912.198;89.39;0.083333;0.083333;0;0.083333;1;1;3000;166.426.897;211.611.083;0;12;408.724.408
1;0;0;3.706.755.143;0;0;0;0;0.333333;4;0;12000;2.244.627.566;2.916.278.944;0;12;8.791.161.142
0.545455;122.58;122.58;0;0;0.5;0;0.416667;0;0;6;3400;206.903.715;166.887.922;0.8;12;8.111.284
1;263.04;0;1.460.777.849;263.04;0.083333;0.083333;0;0.166667;3;1;2300;4.228.186.416;325.737.106;0.090909;12;1.352.301.367
1;2812.69;300;0;2512.69;0.75;0.75;0.083333;0;0;27;1000;2.420.213;150.059.679;0.833333;12;293.125.181
0.636364;250.6;250.6;0;0;0.583333;0;0.5;0;0;7;3000;319.762.903;173.632.006;0;12;2.428.497
1;494;50;0;444;0.333333;0.25;0.083333;0;0;7;4000;415.139.393;354.783.499;0;12;931.047.119
1;1937.64;1009.46;967.811.335;928.18;0.818182;0.454545;0.545455;0.454545;16;22;2500;745.063.871;963.517.552;0;11;1.688.247.199
0.857143;165.5;0;1.157.345.416;165.5;0.285714;0.285714;0;0.142857;1;5;1200;375.839.637;481.804.214;0;7;898.253.159
1;1453.32;1453.32;0;0;0.5;0;0.5;0;0;18;16500;1.382.269.127;1.755.253.802;0;12;5.462.897.068
